"Date","League","Home","Away","Team","Minute","Event","Event.number.for.team","Home.Corners","Away.Corners","Home.SOT","Away.SOT","Home.SOffT","Away.SOffT","Home.Attacks","Away.Attacks","Home.DAT","Away.DAT","Home.Possession","Away.Possession","AH.Line","AH.Home.Odds","AH.Away.Odds","Asian.Corners.Line","Asian.Corners.O.Odds","Asian.Corners.U.Odds","Goal.Line","Goal.O.Odds","Goal.U.Odds","Corner.Handicap","Home.Handicap.Corner.Odds","Away.Handicap.Corner.Odds","Game.URL","eventid"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","7","Corner",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille7Corner1"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","7","Corner",2,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille7Corner2"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","8","Goal",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille8Goal1"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","16","Corner",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest16Corner1"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","25","Corner",2,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest25Corner2"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","25","Goal",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest25Goal1"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","32","Corner",3,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille32Corner3"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","36","Yellow Card",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest36Yellow Card1"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","37","Goal",2,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille37Goal2"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","41","Yellow Card",1,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille41Yellow Card1"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","45","Goal",3,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille45Goal3"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","62","Corner",3,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest62Corner3"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","64","Goal",4,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille64Goal4"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","71","Yellow Card",2,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest71Yellow Card2"
"27.04.2025","France Ligue 1","Marseille","Brest","Marseille","82","Corner",4,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestMarseille82Corner4"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","88","Yellow Card",3,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest88Yellow Card3"
"27.04.2025","France Ligue 1","Marseille","Brest","Brest","90+2","Yellow Card",4,4,3,7,4,4,5,85,99,26,27,54,46,"Full (-1.5)",2.01,1.89,"Full (9.0)",1.85,1.95,"Full (3.0, 3.5)",2.02,1.88,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689136","27.04.2025MarseilleBrestBrest90+2Yellow Card4"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","9","Yellow Card",1,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse9Yellow Card1"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","12","Corner",1,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse12Corner1"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Nantes","26","Yellow Card",1,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseNantes26Yellow Card1"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","28","Corner",2,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse28Corner2"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","39","Red Card",1,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse39Red Card1"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Nantes","45+5","Corner",1,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseNantes45+5Corner1"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","48","Corner",3,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse48Corner3"
"27.04.2025","France Ligue 1","Nantes","Toulouse","Toulouse","49","Corner",4,3,5,3,2,8,4,109,85,64,38,60,40,"Full (0.0)",2.02,1.88,"Full (9.5)",1.95,1.85,"Full (2.0, 2.5)",2,1.9,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172689130","27.04.2025NantesToulouseToulouse49Corner4"
