"Date","League","Home","Away","Team","Minute","Event","Event.number.for.team","Home.Corners","Away.Corners","Home.SOT","Away.SOT","Home.SOffT","Away.SOffT","Home.Attacks","Away.Attacks","Home.DAT","Away.DAT","Home.Possession","Away.Possession","AH.Line","AH.Home.Odds","AH.Away.Odds","Asian.Corners.Line","Asian.Corners.O.Odds","Asian.Corners.U.Odds","Goal.Line","Goal.O.Odds","Goal.U.Odds","Corner.Handicap","Home.Handicap.Corner.Odds","Away.Handicap.Corner.Odds","Game.URL","eventid"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","9","Corner",1,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli9Corner1"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","41","Corner",2,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli41Corner2"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","45+2","Corner",3,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli45+2Corner3"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","Werder Bremen","50","Corner",1,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliWerder Bremen50Corner1"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","63","Yellow Card",1,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli63Yellow Card1"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","Werder Bremen","82","Yellow Card",1,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliWerder Bremen82Yellow Card1"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","89","Yellow Card",2,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli89Yellow Card2"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","Werder Bremen","90","Yellow Card",2,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliWerder Bremen90Yellow Card2"
"27.04.2025","Germany Bundesliga I","Werder Bremen","St Pauli","St Pauli","90+2","Red Card",1,1,3,2,4,8,6,110,105,39,44,51,49,"Full (-0.5)",2.02,1.88,"Full (9.5)",1.85,1.95,"Full (2.5)",1.86,2.04,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688121","27.04.2025Werder BremenSt PauliSt Pauli90+2Red Card1"
"27.04.2025","Germany Bundesliga I","Bochum","Union Berlin","Bochum","5","Corner",1,10,4,4,1,6,4,148,81,50,31,66,34,"Full (0.0, -0.5)",2.06,1.84,"Full (10.0)",1.85,1.95,"Full (2.5, 3.0)",2.06,1.84,"N.A.","N.A.","N.A.","https://www.totalcorner.com/match/corner-stats/172688119","27.04.2025BochumUnion BerlinBochum5Corner1"
