hcaplevel,goallevel,home_leading,away_leading,drawing_mins
-3.75,4.75,2.5,60.5,27
-3.75,5,3.5,60.5,26
-3.5,4.25,2.5,59.5,28
-3.5,4.5,3.5,59.5,27
-3.5,4.75,3.5,58.5,28
-3.25,4.25,3.5,57.5,29
-3.25,4.5,4.5,56.5,29
-3.25,4.75,4.5,56.5,29
-3,4,3.5,55.5,31
-3,4.25,4.5,55.5,30
-3,4.5,5.5,54.5,30
-2.75,3.75,4.5,53.5,32
-2.75,4,5.5,53.5,31
-2.75,4.25,5.5,52.5,32
-2.75,4.5,6.5,52.5,31
-2.5,3.25,3.5,51.5,35
-2.5,3.5,4.5,51.5,34
-2.5,3.75,5.5,50.5,34
-2.5,4,6.5,50.5,33
-2.5,4.25,7.5,50.5,32
-2.25,3.25,5.5,48.5,36
-2.25,3.5,6.5,48.5,35
-2.25,3.75,6.5,48.5,35
-2.25,4,7.5,48.5,34
-2,2.75,4.5,45.5,40
-2,3,5.5,45.5,39
-2,3.25,6.5,45.5,38
-2,3.5,7.5,45.5,37
-2,3.75,8.5,45.5,36
-2,4,9.5,45.5,35
-1.75,2.5,4.5,42.5,43
-1.75,2.75,6.5,42.5,41
-1.75,3,7.5,42.5,40
-1.75,3.25,8.5,43.5,38
-1.75,3.5,9.5,43.5,37
-1.75,3.75,10.5,43.5,36
-1.75,4,11.5,43.5,35
-1.5,2.25,5.5,39.5,45
-1.5,2.5,6.5,39.5,44
-1.5,2.75,8.5,39.5,42
-1.5,3,9.5,40.5,40
-1.5,3.25,10.5,40.5,39
-1.5,3.5,11.5,40.5,38
-1.5,3.75,12.5,40.5,37
-1.25,2,5.5,35.5,49
-1.25,2.25,7.5,35.5,47
-1.25,2.5,8.5,36.5,45
-1.25,2.75,10.5,36.5,43
-1.25,3,11.5,37.5,41
-1.25,3.25,12.5,37.5,40
-1.25,3.5,13.5,37.5,39
-1,2,8.5,31.5,50
-1,2.25,9.5,32.5,48
-1,2.5,11.5,33.5,45
-1,2.75,12.5,33.5,44
-1,3,13.5,34.5,42
-1,3.25,14.5,34.5,41
-1,3.5,15.5,35.5,39
-0.75,2,10.5,28.5,51
-0.75,2.25,12.5,29.5,48
-0.75,2.5,13.5,30.5,46
-0.75,2.75,14.5,30.5,45
-0.75,3,15.5,31.5,43
-0.75,3.25,16.5,31.5,42
-0.75,3.5,17.5,32.5,40
-0.75,3.75,18.5,32.5,39
-0.5,1.75,11.5,24.5,54
-0.5,2,13.5,25.5,51
-0.5,2.25,14.5,26.5,49
-0.5,2.5,15.5,27.5,47
-0.5,2.75,17.5,27.5,45
-0.5,3,18.5,28.5,43
-0.5,3.25,18.5,29.5,42
-0.5,3.5,19.5,29.5,41
-0.5,3.75,20.5,30.5,39
-0.25,1.75,14.5,20.5,55
-0.25,2,16.5,22.5,51
-0.25,2.25,17.5,23.5,49
-0.25,2.5,18.5,24.5,47
-0.25,2.75,19.5,25.5,45
-0.25,3,20.5,25.5,44
-0.25,3.25,21.5,26.5,42
-0.25,3.5,22.5,27.5,40
0,1.75,17.5,17.5,55
0,2,19.5,19.5,51
0,2.25,20.5,20.5,49
0,2.5,21.5,21.5,47
0,2.75,22.5,22.5,45
0,3,23.5,23.5,43
0,3.25,23.5,23.5,43
0,3.5,24.5,24.5,41
0.25,1.75,20.5,14.5,55
0.25,2,22.5,16.5,51
0.25,2.25,23.5,17.5,49
0.25,2.5,24.5,18.5,47
0.25,2.75,25.5,19.5,45
0.25,3,25.5,20.5,44
0.25,3.25,26.5,21.5,42
0.5,2,25.5,13.5,51
0.5,2.25,26.5,14.5,49
0.5,2.5,27.5,15.5,47
0.5,2.75,27.5,17.5,45
0.5,3,28.5,18.5,43
0.5,3.25,29.5,18.5,42
0.5,3.5,29.5,19.5,41
0.5,3.75,30.5,20.5,39
0.75,2,28.5,10.5,51
0.75,2.25,29.5,12.5,48
0.75,2.5,30.5,13.5,46
0.75,2.75,30.5,14.5,45
0.75,3,31.5,15.5,43
0.75,3.25,31.5,16.5,42
0.75,3.5,32.5,17.5,40
0.75,3.75,32.5,18.5,39
0.75,4,33.5,19.5,37
1,2.25,32.5,9.5,48
1,2.5,33.5,11.5,45
1,2.75,33.5,12.5,44
1,3,34.5,13.5,42
1,3.25,34.5,14.5,41
1,3.5,35.5,15.5,39
1,3.75,35.5,16.5,38
1.25,2.25,35.5,7.5,47
1.25,2.5,36.5,8.5,45
1.25,2.75,36.5,10.5,43
1.25,3,37.5,11.5,41
1.25,3.25,37.5,12.5,40
1.25,3.5,37.5,13.5,39
1.25,3.75,37.5,14.5,38
1.5,2.5,39.5,6.5,44
1.5,2.75,39.5,8.5,42
1.5,3,40.5,9.5,40
1.5,3.25,40.5,10.5,39
1.5,3.5,40.5,11.5,38
1.75,3,42.5,7.5,40
1.75,3.25,43.5,8.5,38
1.75,3.5,43.5,9.5,37
1.75,3.75,43.5,10.5,36
1.75,4,43.5,11.5,35
2,3,45.5,5.5,39
2,3.25,45.5,6.5,38
2,3.5,45.5,7.5,37
2,3.75,45.5,8.5,36
2,4,45.5,9.5,35
2,4.25,45.5,10.5,34
2.25,3.25,48.5,5.5,36
2.25,3.5,48.5,6.5,35
2.25,3.75,48.5,6.5,35
2.25,4,48.5,7.5,34
2.5,3.25,51.5,3.5,35
2.5,3.5,51.5,4.5,34
2.5,3.75,50.5,5.5,34
2.5,4,50.5,6.5,33
2.75,3.25,54.5,2.5,33
2.75,3.5,53.5,3.5,33
2.75,3.75,53.5,4.5,32
2.75,4,53.5,5.5,31
3,4,55.5,3.5,31
3,4.25,55.5,4.5,30
3,4.5,54.5,5.5,30
3.25,4.5,56.5,4.5,29
3.25,4.75,56.5,5.5,28
3.25,5,56.5,5.5,28
